timestamp,door_id,direction,cardholder_id,result
2026-08-10 01:49:35,D01,in,C0207,granted
2026-08-10 01:53:53,D09,in,C0207,granted
2026-08-10 02:00:29,D05,in,C0207,granted
2026-08-10 02:02:52,D01,in,C0209,granted
2026-08-10 02:03:19,D07,in,C0207,granted
2026-08-10 02:06:36,D14,in,C0209,granted
2026-08-10 02:07:21,D06,in,C0207,granted
2026-08-10 02:15:30,D10,in,C0209,granted
2026-08-10 02:15:56,D15,in,C0207,granted
2026-08-10 02:21:10,D12,in,C0209,granted
2026-08-10 02:21:31,D04,in,C0207,granted
2026-08-10 02:24:46,D16,in,C0209,granted
2026-08-10 02:27:12,D11,in,C0207,granted
2026-08-10 02:30:06,D15,in,C0209,granted
2026-08-10 02:33:48,D07,in,C0209,granted
2026-08-10 02:33:53,D10,in,C0207,granted
2026-08-10 02:39:06,D01,out,C0207,granted
2026-08-10 02:40:29,D01,out,C0209,granted
2026-08-10 05:52:55,D01,in,C0210,granted
2026-08-10 05:58:58,D10,in,C0210,granted
2026-08-10 06:00:18,D06,in,C0210,granted
2026-08-10 06:00:22,D01,in,C0208,granted
2026-08-10 06:06:45,D13,in,C0208,granted
2026-08-10 06:07:02,D07,in,C0210,granted
2026-08-10 06:11:09,D07,in,C0208,granted
2026-08-10 06:14:10,D15,in,C0210,granted
2026-08-10 06:14:27,D06,in,C0208,granted
2026-08-10 06:17:35,D11,in,C0208,granted
2026-08-10 06:18:37,D13,in,C0210,granted
2026-08-10 06:20:06,D14,in,C0210,granted
2026-08-10 06:24:02,D04,in,C0208,granted
2026-08-10 06:26:31,D12,in,C0210,granted
2026-08-10 06:29:26,D12,in,C0208,granted
2026-08-10 06:32:39,D11,in,C0210,granted
2026-08-10 06:33:33,D16,in,C0208,granted
2026-08-10 06:38:25,D01,out,C0210,granted
2026-08-10 06:38:54,D05,in,C0208,granted
2026-08-10 06:43:34,D01,in,C0083,granted
2026-08-10 06:44:39,D09,in,C0208,granted
2026-08-10 06:44:41,D02,in,C0094,granted
2026-08-10 06:46:32,D16,in,C0094,granted
2026-08-10 06:48:00,D05,in,C0083,granted
2026-08-10 06:49:42,D01,out,C0208,granted
2026-08-10 07:03:50,D01,in,C0085,granted
2026-08-10 07:04:46,D02,in,C0151,granted
2026-08-10 07:06:00,D12,in,C0085,granted
2026-08-10 07:09:01,D04,in,C0151,granted
2026-08-10 07:11:35,D01,in,C0049,granted
2026-08-10 07:12:36,D02,in,C0057,granted
2026-08-10 07:12:53,D02,in,C0193,granted
2026-08-10 07:13:41,D01,in,C0181,granted
2026-08-10 07:14:05,D06,in,C0193,granted
2026-08-10 07:14:20,D05,in,C0049,granted
2026-08-10 07:15:07,D05,in,C0057,granted
2026-08-10 07:16:04,D01,in,C0077,granted
2026-08-10 07:16:16,D09,in,C0181,granted
2026-08-10 07:16:17,D09,in,C0181,granted
2026-08-10 07:20:46,D04,in,C0077,granted
2026-08-10 07:22:06,D01,in,C0032,granted
2026-08-10 07:26:04,D16,in,C0083,granted
2026-08-10 07:26:13,D07,in,C0032,granted
2026-08-10 07:26:40,D01,in,C0110,granted
2026-08-10 07:26:51,D01,in,C0035,granted
2026-08-10 07:28:17,D01,in,C0186,granted
2026-08-10 07:31:32,D04,in,C0110,granted
2026-08-10 07:31:39,D07,in,C0035,granted
2026-08-10 07:33:14,D01,in,C0059,granted
2026-08-10 07:33:22,D15,in,C0186,granted
2026-08-10 07:35:30,D01,in,C0145,granted
2026-08-10 07:35:32,D12,in,C0059,granted
2026-08-10 07:37:07,D06,in,C0145,granted
2026-08-10 07:37:44,D01,in,C0028,granted
2026-08-10 07:37:48,D01,in,C0084,granted
2026-08-10 07:37:50,D01,in,C0199,granted
2026-08-10 07:40:52,D01,in,C0095,granted
2026-08-10 07:41:22,D12,in,C0199,granted
2026-08-10 07:41:25,D01,in,C0016,granted
2026-08-10 07:41:33,D01,in,C0180,granted
2026-08-10 07:41:47,D03,in,C0130,granted
2026-08-10 07:42:21,D02,in,C0176,granted
2026-08-10 07:43:14,D12,in,C0176,granted
2026-08-10 07:43:22,D02,in,C0172,granted
2026-08-10 07:44:08,D14,in,C0130,granted
2026-08-10 07:44:10,D07,in,C0095,granted
